.threshold,specificity,sensitivity
0.002505701853014253,0.012409167132476244,0.9996084573218481
0.002511503430495076,0.012465064281721632,0.9996084573218481
0.002514502108065355,0.012520961430967021,0.9996084573218481
0.002520851781514182,0.01257685858021241,0.9996084573218481
0.002525937644700179,0.012632755729457797,0.9996084573218481
0.0025267340951012555,0.012688652878703187,0.9996084573218481
0.0025307269008109567,0.012744550027948574,0.9996084573218481
0.002531350495253419,0.012800447177193964,0.9996084573218481
0.002532588505320146,0.012856344326439352,0.9996084573218481
0.002533651242486616,0.01291224147568474,0.9996084573218481
0.00253807794618254,0.012968138624930129,0.9996084573218481
0.002540164639782721,0.013024035774175517,0.9996084573218481
0.0025551341642008267,0.013079932923420905,0.9996084573218481
0.0025608123709654033,0.013135830072666294,0.9996084573218481
0.0025616816184555902,0.013191727221911682,0.9996084573218481
0.0025622264824548494,0.013247624371157072,0.9996084573218481
0.0025623655104352813,0.01330352152040246,0.9996084573218481
0.00258532360713246,0.013359418669647847,0.9996084573218481
0.0025934575254029646,0.013415315818893237,0.9996084573218481
0.002602476169403595,0.013471212968138625,0.9996084573218481
0.0026071916770053433,0.013527110117384014,0.9996084573218481
0.002609688450072077,0.013583007266629402,0.9996084573218481
0.002610442903979289,0.013583007266629402,0.9992169146436961
0.0026105756713555683,0.01363890441587479,0.9992169146436961
0.0026273289102599316,0.01369480156512018,0.9992169146436961
0.002632807002872368,0.013750698714365567,0.9992169146436961
0.0026334394635986738,0.013806595863610957,0.9992169146436961
0.0026421785770344886,0.013862493012856344,0.9992169146436961
0.002649898251091613,0.013918390162101732,0.9992169146436961
0.0026633740968013586,0.013974287311347122,0.9992169146436961
0.00266829802314099,0.01403018446059251,0.9992169146436961
0.0026685766946030415,0.014086081609837897,0.9992169146436961
0.0026729521923805847,0.014141978759083287,0.9992169146436961
0.0026737111350624287,0.014197875908328675,0.9992169146436961
0.0026921001136182192,0.014253773057574064,0.9992169146436961
0.0026973988678005364,0.014309670206819452,0.9992169146436961
0.0026982614859329635,0.01436556735606484,0.9992169146436961
0.002711041417887747,0.01442146450531023,0.9992169146436961
0.0027136506073867366,0.014477361654555617,0.9992169146436961
0.0027175867583220216,0.014533258803801007,0.9992169146436961
0.0027186065932725888,0.014589155953046395,0.9992169146436961
0.002720280159009177,0.014645053102291783,0.9992169146436961
0.002734288313548004,0.014700950251537172,0.9992169146436961
0.0027514363436915096,0.01475684740078256,0.9992169146436961
0.002761259234823037,0.014812744550027948,0.9992169146436961
0.002770509737060707,0.014868641699273337,0.9992169146436961
0.002775877101092453,0.014924538848518725,0.9992169146436961
0.002779296764219831,0.014980435997764115,0.9992169146436961
0.0027924612064006557,0.015036333147009502,0.9992169146436961
0.0027959377056262415,0.01509223029625489,0.9992169146436961
0.002797538060619139,0.01514812744550028,0.9992169146436961
0.0028016133863854207,0.015204024594745668,0.9992169146436961
0.002809444044339585,0.015259921743991057,0.9992169146436961
0.0028161130262725053,0.015315818893236445,0.9992169146436961
0.0028197759686446806,0.015371716042481833,0.9992169146436961
0.0028281759996498256,0.015427613191727222,0.9992169146436961
0.0028457949989932115,0.01548351034097261,0.9992169146436961
0.002846585241596588,0.015539407490218,0.9992169146436961
